課綱,跨部,跨系,已選,停修,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,期程,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,跨就微PBL,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,,,,2601001,ED010A,ED010,教育議題專題,Seminar on Education Issues,學程,教育學程－中,教必,半,2,張淑慧,1-78.,全人415,,,,,20屆(含)以後為必選修,,師培中心,30,42,2,2,60,國語,8401B,0
◎,,,,,2604001,ED040A,ED040,學校行政,Education Administration,學程,教育學程－中,教必,半,2,王保進,2-34.,全人415,,,,,,,師培中心,35,43,2,0.5,65,國語,8401B,0
◎,,,,,2604001,ED040A,ED040,學校行政,Education Administration,學程,教育學程－中,教必,半,2,黃懷德,2-34.,全人415,,,,,,,師培中心,35,43,2,1.5,65,國語,8401B,0
◎,,,,,2607001,ED070A,ED070,教育哲學,The Philosophy of Education,學程,教育學程－中,教必,半,2,楊慶麟,1-56.,全人409,,,,,,創:PBL課程,師培中心,25,28,2,2,34,國語,8401B,0
◎,V,V,,,2607401,ED074A,ED074,班級經營,Class Management,學程,教育學程－中,教必,半,2,李珀,3-78.,全人415,,,,,108學年度新課程，需同時選班級經營實踐,,師培中心,25,25,2,2,37,國語,8401B,0
◎,V,V,,,2608401,ED084A,ED084,輔導原理與實務,Introduction of Guidance and Counseling,學程,教育學程－中,教必,半,2,宋宥賢,4-78.,全人415,,,,,,,師培中心,25,16,2,2,25,國語,8401B,0
◎,V,V,,,2611501,ED115A,ED115,性別教育,Gender Education,學程,教育學程－中,教選,半,2,宋宥賢,2-78.,全人415,,,,,,,師培中心,15,13,2,2,25,國語,8401B,0
◎,,,,,2611601,ED116A,ED116,補救教學,Remedial Instruction,學程,教育學程－中,教選,半,2,楊慶麟,4-56.,全人415,,,,,,,師培中心,25,38,2,2,60,國語,8401B,0
◎,,,,,2613101,ED131A,ED131,教學媒體與應用,Educational Media and Application,學程,教育學程－中,教選,半,2,簡志峰,5-34.,全人405,,,,,,,師培中心,15,11,2,2,16,國語,8401B,0
◎,V,V,,,2613201,ED132A,ED132,國文教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,簡君玲,4-DE.,全人308,,,,,需先修畢國文教材教法課程,,師培中心,15,15,2,2,15,國語,8401B,0
◎,V,V,,,2613301,ED133A,ED133,英文教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,林俊閎,3-78.,全人417,,,,,需先修畢英文教材教法課程,,師培中心,15,3,2,2,2,國語,8401B,0
◎,V,V,,,2613401,ED134A,ED134,數學教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,林世倡,3-EF.,全人409,,,,,需先修畢數學教材教法課程,創:PBL課程,師培中心,15,6,2,2,5,國語,8401B,0
◎,V,V,,,2613501,ED135A,ED135,輔導教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,張淑慧,4-34.,全人417,,,,,需先修畢輔導教材教法課程,,師培中心,15,5,2,2,5,國語,8401B,0
◎,V,V,,,2613601,ED136A,ED136,生物教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,梁忠三,1-56.,全人417,,,,,需先修畢生物教材教法課程,,師培中心,10,2,2,2,2,國語,8401B,0
